date, pm25, pm10, o3, no2, so2, co
2023/5/8, 28, 20, , 29, 1, 4
2023/5/9, 35, 20, , 31, 1, 1
2023/5/10, 31, 31, , 43, 2, 4
2023/5/11, 41, 22, , 29, 1, 1
2023/5/12, 35, , , , , 
2023/5/15, 25, 30, , 19, 2, 3
2023/5/16, 34, 28, , 31, 2, 2
2023/5/17, 36, 32, , 27, 2, 2
2023/5/18, 44, 15, , 10, 1, 1
2023/5/19, 21, 11, , 9, 1, 
2023/5/20, 12, 11, , 15, 1, 1
2023/5/21, 20, 25, , 32, 2, 3
2023/5/22, 45, 28, , 32, 3, 2
2023/5/23, 50, 24, , 24, 1, 
2023/5/24, 37, 28, , 34, , 4
2023/5/25, 53, 23, , 24, , 5
2023/5/26, 40, 15, , 16, , 1
2023/5/27, 24, 11, , 10, , 
2023/5/28, 14, 10, , 17, , 1
2023/5/29, 16, 21, , 34, , 4
2023/5/30, 33, , , , , 
2023/6/1, 22, 23, , 27, , 1
2023/6/2, 32, 7, , 18, , 2
2023/6/3, 17, 7, , 11, , 1
2023/6/4, 12, 11, , 18, , 1
2023/6/5, 19, 11, , 16, , 1
2023/6/6, 16, 17, , 22, , 1
2023/6/7, 23, 16, , 22, , 2
2023/6/8, 32, 14, , 16, , 1
2023/6/9, 27, 10, , 9, , 
2023/6/10, 12, 10, , 8, , 
2023/6/11, 14, 10, , 8, , 
2023/6/12, 13, 12, , 13, , 
2023/6/13, 19, 18, , 21, , 2
2023/6/14, 27, 16, , 22, 1, 1
2023/6/15, 30, 25, , 26, , 2
2023/6/16, 45, 21, , 19, , 2
2023/6/17, 39, 14, , 9, , 1
2023/6/18, 23, 11, , 12, , 1
2023/6/19, 15, 16, , 19, , 1
2023/6/20, 23, 12, , 13, , 1
2023/6/21, 18, 24, 19, 22, , 1
2023/6/22, 34, 17, 11, 28, , 2
2023/6/23, 36, 8, 14, 14, , 2
2023/6/24, 20, 14, 21, 18, , 1
2023/6/25, 29, 25, 18, 27, , 3
2023/6/26, 40, 15, 17, 19, , 
2023/6/27, 27, 12, 15, 15, , 1
2023/6/28, 23, 10, 12, 22, , 1
2023/6/29, 21, 14, 8, 28, , 1
2023/6/30, 32, 12, 14, 16, , 1
2023/1/2, 8, 4, , 18, , 1
2023/1/3, 10, 3, , 10, , 2
2023/1/4, 12, 5, , 18, 1, 
2023/1/5, 19, 9, , 23, 2, 3
2023/1/6, 35, 12, , 31, 1, 1
2023/1/7, 39, 9, , 38, , 3
2023/1/8, 28, 15, , 37, 4, 2
2023/1/9, 46, 10, , 26, 1, 1
2023/1/10, 27, 8, , 26, 1, 1
2023/1/11, 18, 12, , 22, 1, 2
2023/1/12, 20, 8, , 13, 1, 1
2023/1/13, 20, 16, , 23, 1, 2
2023/1/14, 30, 16, , 16, 1, 1
2023/1/15, 32, 20, , 21, 1, 1
2023/1/16, 36, 11, , 24, 1, 1
2023/1/17, 31, 18, , 20, 2, 3
2023/1/18, 48, 15, , 21, 1, 2
2023/1/19, 45, 19, , 28, 1, 2
2023/1/20, 56, 14, , 26, 2, 1
2023/1/21, 29, 15, , 22, 1, 1
2023/1/22, 38, , , , , 
2023/1/24, 11, 5, , 15, 1, 1
2023/1/25, 12, 6, , 16, 1, 1
2023/1/26, 17, 5, , 17, 1, 1
2023/1/27, 15, 12, , 29, , 2
2023/1/28, 34, 5, , 21, , 2
2023/1/29, 19, 2, , 14, , 1
2023/1/30, 6, 8, , 19, , 1
2023/1/31, 26, 9, , 20, , 2
2023/2/1, 33, 12, , 23, , 2
2023/2/2, 40, 13, , 23, , 1
2023/2/3, 49, , , , , 
2023/2/5, 23, 7, , 22, , 1
2023/2/6, 26, 10, , 26, , 1
2023/2/7, 32, 7, , 17, , 1
2023/2/8, 18, 6, , 24, , 
2023/2/9, 16, 9, , 6, , 1
2023/2/10, 27, 8, , 3, , 1
2023/2/11, 22, 5, , 3, , 1
2023/2/12, 16, 5, , 9, , 1
2023/2/13, 10, 5, , 11, , 2
2023/2/14, 13, 4, , 8, , 
2023/2/15, 11, 5, , 12, , 1
2023/2/16, 17, 12, , 24, , 2
2023/2/17, 42, 12, , 20, , 2
2023/2/18, 38, 9, , 15, , 2
2023/2/19, 32, 16, , 27, , 2
2023/2/20, 55, 23, , 15, , 2
2023/2/21, 70, 19, , 17, , 2
2023/2/22, 61, 14, , 17, , 1
2023/2/23, 43, 11, , 18, , 2
2023/2/24, 35, 9, , 16, , 1
2023/2/25, 27, 6, , 13, , 1
2023/2/26, 20, 7, , 10, , 1
2023/2/27, 24, 5, , 14, , 
2023/2/28, 12, 4, , 13, , 1
2023/3/1, 11, 4, , 14, , 1
2023/3/2, 11, 6, , 18, , 2
2023/3/3, 11, 4, , 21, , 2
2023/3/4, 11, 6, , 16, , 1
2023/3/5, 21, 5, , 19, , 1
2023/3/6, 15, 6, , 17, , 1
2023/3/7, 20, 10, , 30, , 3
2023/3/8, 35, 5, , 13, , 
2023/3/9, 12, , , , , 
2023/3/12, 18, 8, , 15, , 1
2023/3/13, 21, 7, , 17, , 1
2023/3/14, 18, 11, , 17, 1, 2
2023/3/15, 26, 16, , 31, , 2
2023/3/16, 40, 8, , 13, 1, 1
2023/3/17, 14, 14, , 22, 1, 1
2023/3/18, 20, 19, , 31, 1, 1
2023/3/19, 27, 18, , 30, 1, 3
2023/3/20, 25, 15, , 17, 1, 1
2023/3/21, 25, 7, , , , 1
2023/3/22, 17, 10, , , , 1
2023/3/23, 17, 10, , 29, 1, 1
2023/3/24, 30, 9, , 31, 1, 1
2023/3/25, 27, 8, , 29, 1, 2
2023/3/26, 26, 3, , 29, 1, 1
2023/3/27, 10, 28, , 27, 4, 
2023/3/28, 27, 12, , 32, 2, 
2023/3/29, 22, 10, , 24, 1, 
2023/3/30, 16, 12, , 23, 1, 
2023/3/31, 16, 13, , 30, 1, 2
2022/10/1, 64, 4, 11, 14, 1, 
2022/10/2, 22, 8, 10, 15, , 2
2022/10/3, 39, 8, 8, 14, , 1
2022/10/4, 37, 4, 3, 14, , 
2022/10/5, 28, 8, 2, 15, , 1
2022/10/6, 42, 10, 9, 12, , 1
2022/10/7, 36, 10, 10, 17, , 1
2022/10/8, 43, 10, 10, 17, , 1
2022/10/9, 39, 7, 12, 14, , 
2022/10/10, 32, 12, 10, 25, , 1
2022/10/11, 39, 29, , 30, 1, 8
2022/10/13, 38, 17, , 25, , 2
2022/10/14, 50, 16, , 29, , 3
2022/10/15, 56, 12, , 22, , 
2022/10/16, 50, 11, , 20, , 1
2022/10/17, 48, 7, 12, 18, , 1
2022/10/18, 40, 7, 12, 22, 1, 2
2022/10/19, 29, 6, 14, 15, , 1
2022/10/20, 29, 11, 14, 19, , 1
2022/10/21, 33, 9, 9, 22, 1, 2
2022/10/22, 41, 12, 10, 19, 1, 1
2022/10/23, 48, 10, 14, 17, 1, 1
2022/10/24, 41, 17, 10, 27, , 2
2022/10/25, 55, 20, 11, 25, 1, 1
2022/10/26, 52, 23, 8, 27, 1, 2
2022/10/27, 65, 12, 9, 20, , 
2022/10/28, 52, 5, 12, 16, , 1
2022/10/29, 28, 3, 24, 9, , 
2022/10/30, 15, 5, 21, 11, , 1
2022/10/31, 25, 7, , 14, , 1
2022/11/1, 15, 14, , 25, , 1
2022/11/8, 47, 7, , 11, 1, 1
2022/11/9, 48, 18, , 16, 1, 1
2022/11/10, 46, 9, , 13, 1, 1
2022/11/11, 37, 2, 13, 9, , 1
2022/11/12, 16, 4, 19, 7, , 
2022/11/13, 17, 8, 22, 11, , 
2022/11/14, 23, 8, 20, 18, , 
2022/11/15, 37, 9, 8, 27, , 1
2022/11/16, 50, 8, 14, 28, , 3
2022/11/17, 44, 6, 12, 16, , 1
2022/11/18, 36, 8, 10, 19, 1, 2
2022/11/19, 49, 8, 10, 19, 1, 2
2022/11/20, 51, 8, 2, 20, 1, 3
2022/11/21, 50, 5, , 18, 1, 1
2022/11/22, 39, 3, , 17, 1, 2
2022/11/23, 32, 8, , 18, , 1
2022/11/24, 49, 7, , 17, , 1
2022/11/25, 43, 7, , 19, , 1
2022/11/26, 39, 7, , 18, , 
2022/11/27, 45, 10, , 15, , 1
2022/11/28, 53, , , , , 
2022/12/25, 15, 6, , 26, 1, 1
2022/12/26, 17, 7, , 22, 2, 1
2022/12/27, 19, 9, , 23, 1, 2
2022/12/28, 27, 9, , 24, 1, 2
2022/12/29, 22, 10, , 23, 1, 2
2022/12/30, 32, 6, , 16, 1, 1
2022/12/31, 22, 5, , 9, 1, 1
2023/1/1, 18, 2, , 8, 1, 1
2022/7/1, 28, 18, 25, 12, , 1
2022/7/2, 38, 17, 22, 11, , 2
2022/7/3, 44, 19, 24, 13, , 2
2022/7/4, 56, 27, 21, 24, , 2
2022/7/5, 86, 22, 20, 19, , 2
2022/7/6, 73, 22, 19, 18, , 2
2022/7/7, 66, 8, 22, 10, , 1
2022/7/8, 30, 20, 19, 22, , 1
2022/7/9, 61, 17, 25, 15, , 1
2022/7/10, 56, 21, 18, 15, , 1
2022/7/11, 60, 14, 17, 9, , 
2022/7/12, 52, 16, 16, 18, , 2
2022/7/13, 59, 23, 19, 20, , 4
2022/7/14, 65, 10, 13, 8, , 
2022/7/15, 40, 10, 14, 11, , 1
2022/7/16, 44, 9, 16, 12, , 
2022/7/17, 41, 10, 14, 15, , 1
2022/7/18, 39, 7, 11, 8, 1, 2
2022/7/19, 30, 8, 13, 11, , 1
2022/7/20, 33, 6, 15, 8, , 1
2022/7/21, 31, 11, 17, 8, , 1
2022/7/22, 41, 19, 26, 15, , 2
2022/7/23, 72, 18, 18, 15, , 2
2022/7/24, 61, 16, 22, 15, , 1
2022/7/25, 52, 16, 24, 14, , 2
2022/7/26, 58, 28, 21, 21, , 2
2022/7/27, 94, 19, 11, 15, , 1
2022/7/28, 64, 7, 15, 7, , 1
2022/7/29, 22, 8, 16, 10, , 1
2022/7/30, 31, 18, 24, 15, , 3
2022/7/31, 55, 15, 20, 18, , 2
2022/8/1, 62, 18, 19, 18, 1, 3
2022/8/2, 66, 34, 21, 34, 1, 5
2022/8/3, 81, 26, 25, 12, 1, 1
2022/8/4, 76, 31, 22, 23, 1, 3
2022/8/5, 89, 31, 26, 19, 1, 2
2022/8/6, 86, 23, 21, 15, 1, 2
